edgeR Analysis of Differential Expression Across Pseudotime,,,,,,
,logFC,logCPM,F,PValue,FDR,Cluster
MRPL32,0.0624974,8.643424138,1649.845794,0,0,1
CBFB,0.045769879,8.249368023,851.1621723,2.65E-127,1.94E-126,1
H2AFV,0.059277897,8.941646386,1678.726659,0,0,1
RBM47,0.066090388,8.50435136,1743.918524,0,0,1
CDC34,0.054306816,8.369541634,1162.078482,2.34E-219,3.19E-218,1
BCL7B,0.050202805,8.34287335,1023.762069,1.24E-178,1.29E-177,1
SCD,0.07714974,8.926926733,1477.756516,4.30227254875896e-311,1.1301705680253e-309,1
POLR2H,0.05170555,8.582925991,1268.643044,8.53E-269,1.66E-267,1
PDCD6,0.073964698,8.9740636,2477.792979,0,0,1
EPS8,0.069486782,8.576088414,2043.356782,0,0,1
DCP1A,0.052614325,8.24177771,1122.405318,4.42E-170,4.37E-169,1
PLIN2,0.057766504,8.589427078,939.1404573,3.23E-201,3.92E-200,1
AIFM2,0.050912628,8.19108086,1103.233553,2.58E-151,2.24E-150,1
LASP1,0.060326498,8.472445862,1570.96241,7.69018118408359e-318,2.11613973165451e-316,1
HEPH,0.056690256,8.358759292,1139.354253,4.78E-241,7.61E-240,1
MGST1,0.063314699,9.368267602,1561.894722,0,0,1
OSBPL10,0.040690671,8.16387315,767.177871,4.58E-92,2.56E-91,1
RAMP1,0.050714043,8.349324993,649.5627858,7.50E-141,6.04E-140,1
LSM1,0.054048937,8.513734882,1254.621843,6.07E-266,1.15E-264,1
GNAQ,0.051422147,8.329634571,986.2650416,4.04E-182,4.32E-181,1
GALNT1,0.056972284,8.382926059,1053.393834,8.82E-225,1.26E-223,1
GALNT2,0.045658025,8.191832274,905.6170638,1.70E-120,1.18E-119,1
FHL2,0.086283664,9.159567777,2531.273935,0,0,1
MKNK2,0.054674518,8.430715016,1150.228481,4.97E-243,8.04E-242,1
TMEM14B,0.056577811,8.806365824,1441.060482,1.06E-303,2.63E-302,1
TNFRSF21,0.060704383,8.440916187,1340.488444,2.23E-283,4.76E-282,1
ITGB8,0.050092791,8.263065491,861.3442035,4.35E-152,3.81E-151,1
PLBD1,0.063975439,8.498481004,1476.11234,9.21540073504819e-311,2.41593689893984e-309,1
FSCN1,0.049116107,8.305801222,688.6516445,4.70E-149,4.02E-148,1
EFNB1,0.06238645,8.401794611,1369.077459,1.83E-284,3.94E-283,1
PTK7,0.038297232,8.186922954,575.7292706,1.78E-74,8.59E-74,1
NPEPPS,0.059023824,8.42015488,1433.71811,2.33E-291,5.28E-290,1
TRIB3,0.053585689,8.613931595,676.6835193,1.52E-146,1.28E-145,1
MYDGF,0.072628306,9.123090865,2498.357584,0,0,1
YRDC,0.050862229,8.233178959,1003.152214,3.57E-151,3.10E-150,1
AGRN,0.056656014,8.278334407,1120.269575,9.74E-205,1.21E-203,1
RAB1A,0.072360265,8.777455628,2488.14954,0,0,1
ONECUT3,0.037252001,8.156906601,569.9630997,2.02E-77,1.00E-76,1
OAS3,0.054462678,8.164377457,1272.185189,1.34E-171,1.33E-170,1
LAMP2,0.059359045,8.389683675,1344.073026,1.34E-279,2.79E-278,1
REST,0.05350256,8.233130884,1130.410127,4.29E-176,4.41E-175,1
PSENEN,0.047748413,8.513992914,996.8777029,3.84E-213,5.02E-212,1
CDK2AP2,0.049563638,8.592594842,1052.309097,1.47E-224,2.10E-223,1
UPF3A,0.051369219,8.45815621,1117.993786,4.84E-238,7.56E-237,1
TMEM115,0.045307545,8.198788099,898.7945277,1.27E-118,8.69E-118,1
TOR1AIP2,0.056377967,8.355640229,1253.974119,2.31E-240,3.65E-239,1
SERINC3,0.072243899,8.553404182,2145.576333,0,0,1
IQGAP1,0.061686159,8.613123984,1766.404646,0,0,1
PDP1,0.049713205,8.284798219,905.223927,3.44E-158,3.16E-157,1
CXCL16,0.065158932,8.479586469,1507.213643,5.14560723994856e-317,1.40850187851986e-315,1
MEAF6,0.04941076,8.435050728,1024.616387,3.69E-202,4.50E-201,1
H3F3B,0.066970025,10.97759656,3143.545894,0,0,1
CTGF,0.067602263,8.532546954,994.9081642,9.78E-213,1.28E-211,1
EMP2,0.071354844,8.649947982,1971.972272,0,0,1
VEZT,0.053438649,8.2772812,1131.687996,3.18E-190,3.58E-189,1
CLDN12,0.048777632,8.189919906,995.6202408,2.87E-131,2.15E-130,1
FAM49B,0.054899544,8.468974169,1283.566107,7.90E-272,1.57E-270,1
FEZ2,0.05760019,8.310492016,1352.714628,5.31E-240,8.39E-239,1
FXYD5,0.044778322,9.14910323,908.7332342,6.38E-195,7.40E-194,1
EZR,0.087315649,9.526245566,4030.540206,0,0,1
CTTN,0.056713696,8.664059675,1444.606697,2.04E-304,5.09E-303,1
NEDD8,0.048964306,9.178982598,1245.920087,3.58E-264,6.69E-263,1
ELOVL5,0.036548282,8.20652056,519.1829573,8.49E-77,4.18E-76,1
MGLL,0.070767586,8.499204216,1854.637583,0,0,1
LEPROTL1,0.049972468,8.260615446,987.553154,2.19E-158,2.02E-157,1
RGCC,0.074625877,8.511283185,1284.968271,4.10E-272,8.16E-271,1
SULT2B1,0.072820186,8.389292297,1537.767392,3.95252516672997e-323,1.13141032897645e-321,1
CD58,0.062954401,8.224749942,1608.529473,2.56E-239,4.03E-238,1
TMBIM1,0.08568692,8.640443516,2955.386803,0,0,1
DNAJA4,0.06222371,8.316259733,1249.661165,6.21E-265,1.17E-263,1
DAB2,0.045527063,8.204254177,743.5377236,1.00E-122,7.05E-122,1
ATPAF1,0.04043158,8.211352725,669.43937,8.09E-94,4.59E-93,1
MUC13,0.087319955,8.949842599,2747.63202,0,0,1
BRK1,0.05489516,9.156776082,1644.680127,0,0,1
HEXB,0.069555565,8.57519957,1953.157587,0,0,1
PLEKHA1,0.064924186,8.356207802,1675.000521,4.05627895235663e-321,1.14894965940382e-319,1
SLC2A1,0.112032849,8.834243898,3530.291245,0,0,1
PAM,0.058436131,8.234667753,1232.847462,2.20E-205,2.75E-204,1
SELT,0.066102457,8.456253471,1715.562383,0,0,1
OSER1,0.061175634,8.490772528,1445.8341,1.15E-304,2.89E-303,1
TSSC1,0.043962137,8.208262457,813.8557757,2.35E-113,1.55E-112,1
DNAJB11,0.069520379,8.444150656,1913.144937,0,0,1
KRT80,0.070158411,8.262278333,1568.91091,2.47E-293,5.72E-292,1
ADAM9,0.060549328,8.3939648,1378.826375,3.87E-291,8.77E-290,1
MED8,0.054385035,8.216310753,1237.786966,4.26E-181,4.53E-180,1
PPP2CA,0.062626021,8.416486269,1592.593295,0,0,1
RABGGTB,0.050050937,8.478040584,1017.535644,2.12E-217,2.85E-216,1
SQRDL,0.072874985,8.456248231,1795.732117,0,0,1
DRAM2,0.043731795,8.34489166,759.3544301,2.68E-137,2.11E-136,1
YTHDF2,0.063436795,8.432552531,1697.616035,0,0,1
PERP,0.082757361,10.42571953,3350.979808,0,0,1
PRKRA,0.047845151,8.351925127,942.0909687,2.51E-170,2.48E-169,1
AMOTL2,0.05190677,8.1921616,1079.782062,4.77E-148,4.05E-147,1
TMEM159,0.043893714,8.279832518,746.7855635,3.31E-124,2.36E-123,1
YWHAH,0.06956323,8.825844435,2313.596406,0,0,1
UTP4,0.04285318,8.201857664,787.7556104,1.08E-109,6.95E-109,1
POLR2E,0.05721193,8.667501036,1495.696958,1.06115710863107e-314,2.83908553324018e-313,1
CITED4,0.039131658,8.239481979,542.1218437,7.30E-89,3.97E-88,1
EIF2AK1,0.057447303,8.451944122,1456.193026,5.92E-303,1.46E-301,1
EIF1AX,0.070848377,9.26780932,2559.017075,0,0,1
DHCR7,0.063647142,8.280784483,1311.653767,2.10E-269,4.09E-268,1
MSI2,0.060000488,8.42905372,1421.450487,1.60E-296,3.78E-295,1
MISP,0.063382386,9.145172033,1837.74007,0,0,1
PRNP,0.056442475,8.328091675,1164.68303,1.05E-214,1.38E-213,1
ATP5B,0.07942157,9.538692647,2317.104794,0,0,1
H3F3A,0.069421543,11.06881604,2249.709979,0,0,1
ANXA1,0.067545479,9.405949776,1023.557466,1.22E-218,1.65E-217,1
FAM3B,0.054602899,8.344853767,724.7204169,1.31E-156,1.19E-155,1
UBA2,0.051658546,8.441025823,1107.498201,9.36E-227,1.35E-225,1
TBL1XR1,0.059996533,8.415121255,1484.146781,1.64E-295,3.84E-294,1
TSEN34,0.053171484,8.486952454,1207.967698,1.94E-256,3.44E-255,1
RIPK4,0.043840825,8.18291335,788.0290318,9.04E-109,5.77E-108,1
ST14,0.071073885,8.865303765,2580.732434,0,0,1
SFXN3,0.044188956,8.179326539,835.2770458,2.70E-111,1.75E-110,1
KDELR2,0.071707529,9.271832553,2407.780166,0,0,1
EBP,0.073180426,8.831053454,1880.652396,0,0,1
ATP5F1,0.061879039,8.962297776,1483.390754,3.16424584015176e-312,8.37127739578827e-311,1
ATG101,0.058200618,8.471279135,1452.291479,5.67E-289,1.27E-287,1
WDR82,0.050592537,8.239879306,1071.534956,3.98E-162,3.74E-161,1
RHEB,0.067014311,9.069078393,2207.549916,0,0,1
MARCKSL1,0.069449408,9.716320311,2649.173626,0,0,1
TMEM223,0.044518583,8.244016778,805.2713388,1.13E-130,8.45E-130,1
AZIN1,0.056691883,8.579557591,1396.317897,1.13E-294,2.63E-293,1
SLBP,0.0566554,8.340183394,1255.214367,9.65E-239,1.51E-237,1
SPTSSA,0.056214295,8.549742592,1263.696682,8.65E-268,1.67E-266,1
ATP6V1H,0.058307393,8.31329492,1364.608689,5.19E-246,8.53E-245,1
B3GNT3,0.063953987,8.338886983,1612.524682,3.13E-304,7.82E-303,1
UBE2B,0.068542745,8.814373675,2271.638337,0,0,1
KRT19,0.102186569,11.42383697,5291.856079,0,0,1
APPL2,0.048545415,8.195838061,1017.305496,1.27E-137,9.98E-137,1
GLRX3,0.061959514,8.60777372,1600.624498,0,0,1
HNRNPC,0.061604928,9.218775675,2192.73337,0,0,1
DR1,0.053066086,8.260252872,1139.474955,7.48E-174,7.55E-173,1
ASPH,0.063707364,8.705600965,1803.086924,0,0,1
VASP,0.067712992,8.724876399,2247.076127,0,0,1
PARL,0.04761515,8.325236153,923.828507,1.59E-165,1.53E-164,1
PRPSAP1,0.047429042,8.235840172,929.7688822,2.88E-139,2.30E-138,1
DPY30,0.052148,8.766321503,1344.105378,4.12E-284,8.86E-283,1
FOXO3,0.063300035,8.392116269,1525.449473,1.67898328426231e-319,4.67942418883036e-318,1
KLK7,0.05808731,8.187427784,1057.477351,4.74E-179,4.98E-178,1
CAPN1,0.069403716,8.665467455,2393.838439,0,0,1
SCARB2,0.066168996,8.354452376,1762.35029,0,0,1
SNX5,0.049132021,8.588782119,1046.856714,1.95E-223,2.74E-222,1
DNAJC7,0.062193572,8.53835141,1781.423296,0,0,1
TMEM98,0.053542744,8.370605073,960.990183,9.82E-206,1.23E-204,1
WIPF2,0.054555579,8.291856755,1167.756292,2.08E-199,2.48E-198,1
CHMP4B,0.075164679,9.340347367,3214.786637,0,0,1
TSPAN13,0.065405183,8.515124372,1516.649558,6.54997648661116e-319,1.81387703941505e-317,1
TMEM11,0.047034737,8.274847774,905.7659099,2.11E-144,1.75E-143,1
ATP5C1,0.069999286,9.211309558,1967.741382,0,0,1
FCHO2,0.033509797,8.125477657,698.3178859,9.64E-71,4.50E-70,1
CDH1,0.074443536,8.795236959,2673.766712,0,0,1
SERPINH1,0.073777031,8.463624856,1681.490731,0,0,1
ARHGEF12,0.054208623,8.275641583,1146.782401,5.36E-187,5.92E-186,1
FAM3C,0.069482183,8.578978314,1733.385077,0,0,1
CTBP2,0.064100373,8.46762119,1768.234047,0,0,1
WTAP,0.050578752,8.472878627,1052.455219,1.38E-224,1.96E-223,1
TACC1,0.062795079,8.394748752,1290.392367,3.24E-273,6.50E-272,1
SLC25A39,0.05050306,8.86098703,1289.81369,4.25E-273,8.52E-272,1
ATP2B1,0.06031388,8.421442636,1405.077368,1.92E-296,4.55E-295,1
DHCR24,0.062969598,8.294734557,1338.073003,2.08E-258,3.73E-257,1
UBE2J2,0.055970803,8.281357833,1302.752185,2.28E-209,2.92E-208,1
MACF1,0.064351416,8.317975098,1540.535964,2.23E-297,5.33E-296,1
AUP1,0.060433866,8.746657835,1965.610004,0,0,1
FAF2,0.050662872,8.18175567,1172.712762,1.45E-151,1.26E-150,1
CHPF,0.062085925,8.423094906,1411.87509,8.15E-298,1.95E-296,1
HEBP2,0.069985939,9.11161453,2504.128838,0,0,1
YIPF4,0.065716434,8.430050495,1859.245127,0,0,1
EEF1E1,0.055605444,8.412322972,1189.063782,1.40E-252,2.40E-251,1
CLDN1,0.063714486,8.3278944,1382.476176,1.83E-281,3.87E-280,1
ADIPOR2,0.059112496,8.28760261,1355.592803,2.09E-224,2.97E-223,1
XPNPEP1,0.052954037,8.223420349,1177.209046,1.27E-176,1.31E-175,1
FERMT1,0.072896384,8.951366129,2063.157353,0,0,1
TMBIM4,0.066772938,8.537631343,1829.694529,0,0,1
CUL3,0.053660349,8.307871043,1160.10592,1.66E-195,1.94E-194,1
MANF,0.067902585,8.68891082,1862.632864,0,0,1
F11R,0.078574197,8.43315974,2456.555796,0,0,1
SLC1A5,0.083820069,8.606501877,2564.941333,0,0,1
RAB10,0.073570564,8.717280936,2695.72557,0,0,1
NEBL,0.054935309,8.284889476,1153.012298,2.19E-207,2.77E-206,1
COTL1,0.052302158,8.618752759,979.8714281,1.24E-209,1.59E-208,1
CTDSP2,0.055499789,8.305669817,1243.553938,5.11E-211,6.61E-210,1
SERPINB5,0.07836887,8.445359156,1723.543753,0,0,1
BZW1,0.065593542,8.700608458,2039.687711,0,0,1
MAGED1,0.05097348,8.202012097,1085.218781,7.11E-154,6.31E-153,1
TADA3,0.047513311,8.327156123,919.6910446,9.32E-164,8.85E-163,1
PLIN3,0.075847006,8.440849727,2231.655486,0,0,1
UGCG,0.060262556,8.268790693,1327.611068,2.49E-229,3.66E-228,1
CCNY,0.044594522,8.219442305,813.6129746,2.32E-114,1.54E-113,1
FAM168B,0.04478079,8.223895943,831.0071191,1.55E-115,1.03E-114,1
RAB5C,0.064764911,8.608119587,1855.94046,0,0,1
SCYL2,0.048575772,8.207304192,1001.506165,5.15E-138,4.07E-137,1
CEACAM6,0.104869142,9.676108763,3182.563175,0,0,1
STAT1,0.056466272,8.339575794,1059.864755,4.12E-226,5.94E-225,1
CAPN2,0.067071695,8.606939513,1952.633359,0,0,1
LRPAP1,0.060065726,8.564015733,1538.587266,2.47032822920623e-323,7.11454530011395e-322,1
PGAM1,0.071374678,8.862616197,2133.285642,0,0,1
NSFL1C,0.060868352,8.39950741,1521.487096,1.24154672570692e-308,3.22E-307,1
ITGB5,0.057543575,8.210988299,1312.118884,4.46E-191,5.05E-190,1
LAMTOR5,0.070378916,9.126130684,2748.760824,0,0,1
CA9,0.069964631,8.328021763,1109.489931,2.68E-236,4.12E-235,1
KCMF1,0.061440452,8.388602387,1543.054108,1.57E-295,3.67E-294,1
CD9,0.088726189,10.25484954,3996.13802,0,0,1
DSC2,0.071444853,8.530509437,1803.884841,0,0,1
B4GALT3,0.049037788,8.255221825,997.8587002,2.32E-154,2.06E-153,1
MBOAT7,0.060732783,8.314287652,1440.758437,1.16E-259,2.10E-258,1
XIAP,0.066502602,8.348264057,1724.531423,0,0,1
CNN2,0.06068382,8.615159251,1605.84567,0,0,1
WDR18,0.052659919,8.344257736,1088.12826,2.82E-224,4.00E-223,1
TECR,0.063280236,8.892966275,2153.76111,0,0,1
TMED4,0.064634611,8.586942356,1953.28532,0,0,1
PPCS,0.053597283,8.45330436,1156.200133,7.29E-246,1.20E-244,1
LRRC8A,0.070611961,8.299461465,1643.756587,0,0,1
CD63,0.085405793,10.19262239,4603.43089,0,0,1
SMAP1,0.056031102,8.420293598,1308.272065,7.59E-277,1.56E-275,1
ARF4,0.074897484,9.006447904,2914.604853,0,0,1
CBY1,0.042578254,8.194704392,787.3647844,3.07E-105,1.91E-104,1
SLC40A1,0.06019329,8.419368482,1047.895959,1.19E-223,1.68E-222,1
CAMK2N1,0.082893121,9.073300765,3066.712353,0,0,1
EIF4E2,0.059498844,8.484764389,1590.55345,0,0,1
CAPZB,0.074256021,8.821731824,2961.801301,0,0,1
NDFIP1,0.071580901,8.598449857,2303.937683,0,0,1
MET,0.071792836,8.366694828,1871.38825,0,0,1
EMG1,0.055781493,8.326204227,1201.263493,1.29E-240,2.06E-239,1
CD47,0.081142857,8.768886847,2731.604744,0,0,1
OAT,0.054792662,8.402940543,1144.535214,1.77E-243,2.88E-242,1
GABARAPL2,0.060276259,8.785344283,1932.542093,0,0,1
SCAF11,0.057717714,8.510743284,1588.190898,0,0,1
ERAL1,0.046328721,8.183919593,973.1260929,1.66E-128,1.23E-127,1
DUSP6,0.06755657,8.377695733,1479.133615,2.27321205845035e-311,5.98964944703312e-310,1
IMPAD1,0.055900765,8.243538001,1296.589362,5.56E-194,6.42E-193,1
ATL3,0.052168561,8.232464158,1065.612446,4.53E-166,4.36E-165,1
ABHD2,0.095289257,8.644111042,2796.335161,0,0,1
ATP6V0B,0.082356309,8.990241729,3355.154843,0,0,1
ANXA11,0.080937518,9.187240385,3827.837221,0,0,1
GMFB,0.045829739,8.238929947,860.4232989,2.98E-132,2.25E-131,1
SPCS2,0.072209311,8.911488425,2665.477346,0,0,1
TSPAN6,0.063782932,8.588899495,1520.387478,1.16342578282697e-319,3.24600635252053e-318,1
SLC39A1,0.071735724,8.385168502,2114.110607,0,0,1
PMP22,0.041954199,8.16635175,665.3250328,5.48E-95,3.14E-94,1
TSPAN14,0.061657182,8.241761577,1552.711202,3.60E-237,5.59E-236,1
DSG2,0.079806622,8.851734579,2707.850701,0,0,1
FDX1,0.054398316,8.532687182,1200.702939,5.90E-255,1.03E-253,1
LRCH1,0.053995927,8.181721179,1209.264356,2.29E-169,2.24E-168,1
SCAMP1,0.045727416,8.189315251,929.7132049,4.74E-121,3.29E-120,1
TMEM50A,0.075764289,8.72148799,2924.591915,0,0,1
CDC42,0.074434937,9.05525595,3071.929973,0,0,1
PLSCR1,0.05861675,8.653992007,1476.890325,6.42652716686439e-311,1.68649417362859e-309,1
SLPI,0.069705342,9.359156034,1449.530405,2.07E-305,5.24E-304,1
PDCD6IP,0.06532267,8.449440685,1838.606614,0,0,1
CTNNA1,0.070855552,8.638480107,2442.497166,0,0,1
RPS19BP1,0.050416071,8.773839248,1326.929073,1.25E-280,2.62E-279,1
S100A16,0.080579442,9.464149624,2931.990661,0,0,1
SDF2L1,0.056911651,8.661926532,1252.268641,1.83E-265,3.45E-264,1
NDUFA9,0.070881448,8.516307605,2026.499789,0,0,1
SLC35B1,0.054863835,8.342629904,1228.985941,6.23E-230,9.20E-229,1
DDOST,0.068839141,8.678682126,2091.466549,0,0,1
DAG1,0.054221429,8.211026703,1232.076151,3.17E-173,3.18E-172,1
SEC61A1,0.055846014,8.471000576,1353.237078,5.83E-286,1.27E-284,1
WDR1,0.073037844,8.689348185,2463.403752,0,0,1
SCCPDH,0.055896325,8.388235176,1245.632339,1.37E-251,2.33E-250,1
APMAP,0.069045518,8.410574003,1855.126006,0,0,1
ADIPOR1,0.061509892,8.45193597,1598.594204,0,0,1
ZKSCAN1,0.062636887,8.54753461,1561.348443,0,0,1
PDIA4,0.066778413,8.742756649,2094.434404,0,0,1
SYNCRIP,0.066190623,8.636159129,2107.210994,0,0,1
DNAJB1,0.08069004,9.784158137,2672.10674,0,0,1
NDUFC2,0.066714088,9.123774243,2335.476403,0,0,1
DYNLT1,0.066956365,8.969910677,2382.751801,0,0,1
ADD3,0.064188094,8.503206372,1686.458975,0,0,1
GIPC1,0.075773874,8.681558479,2661.48661,0,0,1
TMX2,0.063130301,8.37162736,1580.691632,0,0,1
CUL4A,0.057759102,8.379235798,1388.602148,1.88E-264,3.52E-263,1
TMEM30A,0.052396023,8.26395849,1087.899062,2.03E-175,2.07E-174,1
SC5D,0.056347382,8.189214126,1322.405543,8.47E-184,9.14E-183,1
SRPRB,0.056790684,8.328014085,1258.83701,5.12E-241,8.15E-240,1
SRD5A3,0.050928715,8.215027939,991.8708627,9.00E-151,7.81E-150,1
TGFBI,0.073532701,9.025894894,1826.671735,0,0,1
PITPNB,0.054028987,8.290998129,1196.290448,4.26E-204,5.28E-203,1
CDCP1,0.069777794,8.309294908,1829.474688,0,0,1
ICMT,0.045548845,8.176198145,947.5191077,1.30E-115,8.67E-115,1
HLA-E,0.078236631,9.398153727,3438.473433,0,0,1
DERA,0.05422182,8.296144563,1193.520023,4.52E-208,5.73E-207,1
DERL2,0.051051995,8.214424192,1115.652497,1.16E-156,1.05E-155,1
ABI1,0.059145968,8.346211656,1453.161097,9.63E-269,1.87E-267,1
TPP1,0.051063988,8.239525289,1029.62829,5.38E-163,5.08E-162,1
LCN2,0.084593912,10.43892763,1842.839096,0,0,1
CANX,0.069180907,8.983617125,2570.767918,0,0,1
TCP1,0.070438704,8.788625416,2258.63411,0,0,1
IFT172,0.045380852,8.440216172,741.7925867,3.52E-160,3.27E-159,1
TNRC6B,0.043696418,8.333667194,728.5905398,1.65E-141,1.33E-140,1
NDFIP2,0.075378918,8.656666121,2347.122586,0,0,1
TGFBR2,0.06316832,8.265459152,1521.225564,3.19E-262,5.89E-261,1
TMED9,0.082167603,8.92948606,3633.265112,0,0,1
HSPA9,0.066625501,8.65083351,1994.087122,0,0,1
PIGF,0.05117905,8.274215255,1055.944394,1.16E-177,1.21E-176,1
HSP90B1,0.082831824,9.604776852,3605.629554,0,0,1
BUB3,0.054507853,8.37865652,1222.201359,7.81E-255,1.36E-253,1
KCNK1,0.069073258,8.351029361,1611.499367,0,0,1
ABHD17C,0.066088263,8.333671537,1701.470007,4.39718424798709e-322,1.25344454349924e-320,1
GNAI2,0.072984381,8.341600524,1899.917876,0,0,1
LIMS1,0.071067412,8.387956208,2058.283094,0,0,1
EIF4EBP2,0.045754873,8.351611622,849.9994595,5.24E-153,4.61E-152,1
CXorf38,0.044244962,8.159311336,965.7484717,5.53E-115,3.68E-114,1
ATP11A,0.051997163,8.218137505,1074.812033,2.03E-159,1.87E-158,1
MRFAP1,0.069020281,8.69404807,2267.42729,0,0,1
RAB32,0.052812762,8.356605136,980.8182695,9.40E-204,1.16E-202,1
RPL7L1,0.068183366,8.487321412,1969.549555,0,0,1
SHISA5,0.055903488,8.418607873,1301.755316,2.13E-268,4.13E-267,1
RER1,0.070178366,8.664552849,2411.380505,0,0,1
TXNDC12,0.061064214,8.447788248,1552.552413,3.32868823835206e-318,9.17907814583058e-317,1
TM9SF3,0.071702628,8.79047853,2733.298315,0,0,1
HSD17B12,0.076012235,8.691144508,2416.859114,0,0,1
AAMP,0.065941512,8.577103091,2066.943453,0,0,1
ARPC5L,0.067046315,8.719212606,2208.507737,0,0,1
CREB3L2,0.044417165,8.182332266,858.6798854,1.12E-114,7.40E-114,1
BIK,0.052055235,8.715596196,1030.922203,3.71E-220,5.08E-219,1
TMED5,0.045292962,8.256708744,819.5652682,4.82E-126,3.49E-125,1
JAGN1,0.058456924,8.368300971,1385.920865,2.40E-263,4.45E-262,1
STUB1,0.053342717,8.732821385,1441.933638,7.04E-304,1.75E-302,1
ZYX,0.055167364,8.431787399,1189.548387,1.12E-252,1.92E-251,1
GTF3A,0.060705467,9.005041149,1654.470759,0,0,1
RAB25,0.065047881,9.037689489,2264.811164,0,0,1
RAD23A,0.062214633,8.859215361,2091.155135,0,0,1
MFF,0.052738719,8.497822853,1234.656695,2.21E-259,4.00E-258,1
WNK1,0.059770502,8.322565135,1392.199064,4.12E-253,7.11E-252,1
S100A14,0.07055666,9.604924243,1644.788357,0,0,1
DDRGK1,0.053304865,8.672891679,1275.079022,4.19E-270,8.22E-269,1
IAH1,0.051038128,8.419175958,1077.200578,8.10E-218,1.09E-216,1
TMEM87B,0.056020848,8.246358143,1282.207609,2.93E-200,3.50E-199,1
PREP,0.057575271,8.290776056,1261.284286,3.59E-239,5.64E-238,1
PEX2,0.049556463,8.279614538,987.8037221,3.76E-163,3.56E-162,1
MIF4GD,0.042353784,8.200282387,759.9020449,5.18E-104,3.19E-103,1
CNBP,0.074306534,9.181657474,3045.252857,0,0,1
PKP4,0.049901111,8.195799467,1051.471991,4.49E-146,3.77E-145,1
SLC35B2,0.058920006,8.322435175,1395.00296,1.76E-237,2.73E-236,1
YIPF2,0.056065561,8.349376523,1295.850626,1.37E-233,2.07E-232,1
SRI,0.073504258,9.453925717,2832.080886,0,0,1
VMA21,0.040566278,8.358416983,658.765072,2.64E-124,1.89E-123,1
YIF1A,0.068557007,8.70230674,2203.933514,0,0,1
HNRNPD,0.068032532,8.656634223,2265.492048,0,0,1
HDAC2,0.068472843,8.70163556,2131.663231,0,0,1
COPS5,0.063966039,8.463637476,1704.050109,0,0,1
DNAJC3,0.070998254,8.464880872,1899.372214,0,0,1
OCIAD1,0.067235179,8.633142218,2090.639353,0,0,1
RAD21,0.065797546,8.513966138,1866.623973,0,0,1
NPTX2,0.061275498,8.165344985,1277.405345,2.10E-219,2.86E-218,1
EMC10,0.056667057,8.625242832,1598.935534,0,0,1
MRPS14,0.048921662,8.384649053,978.1611534,1.88E-203,2.31E-202,1
TMEM14C,0.055649867,8.977567293,1616.243197,0,0,1
DCTN2,0.055002376,8.48641838,1352.383,8.69E-286,1.90E-284,1
DCUN1D5,0.059517848,8.37778958,1411.457136,2.61E-288,5.79E-287,1
H2AFY,0.073281635,9.032103328,3076.369777,0,0,1
SPTBN1,0.073006969,8.853567324,2691.840053,0,0,1
RNF5,0.051908306,8.446596063,1139.723955,3.44E-241,5.49E-240,1
SUB1,0.064535748,9.779827635,2597.311872,0,0,1
CNIH4,0.063948618,8.683957784,1861.417564,0,0,1
ISCU,0.05251935,8.641000851,1281.418258,2.16E-271,4.28E-270,1
RPN1,0.068013784,8.57686955,2198.59864,0,0,1
TAP1,0.071990177,8.564083233,1945.771727,0,0,1
R3HDM4,0.047023037,8.322877196,882.6394927,9.23E-153,8.11E-152,1
MORF4L2,0.070120582,8.841816644,2409.724656,0,0,1
LYRM1,0.047451347,8.312633521,856.7471257,4.49E-162,4.21E-161,1
KPNA4,0.055396479,8.361807095,1249.307359,5.70E-232,8.54E-231,1
GNB1,0.070797158,8.506620088,2174.933706,0,0,1
VAPA,0.062220684,8.726377468,1945.013559,0,0,1
COPA,0.062104065,8.366604047,1557.401838,1.25739742708796e-308,3.25E-307,1
PGRMC1,0.067677896,8.7891199,2148.662775,0,0,1
TWF1,0.049848416,8.447248048,1078.413191,3.03E-216,4.03E-215,1
STRAP,0.072977294,8.940678897,2136.995032,0,0,1
LYN,0.055466417,8.217169813,1257.907372,1.36E-185,1.49E-184,1
TSPAN3,0.077997581,8.745062353,2752.712131,0,0,1
SNX7,0.050065404,8.297414984,993.2381899,1.16E-166,1.12E-165,1
PDLIM1,0.06526184,9.279965371,2082.89187,0,0,1
CHP1,0.058609801,8.582767446,1393.165627,4.89E-294,1.14E-292,1
MCUR1,0.052817717,8.392842206,1079.757565,2.13E-227,3.09E-226,1
SEPT11,0.056296984,8.285099181,1239.785228,5.15E-221,7.11E-220,1
SFT2D1,0.073418105,8.700805654,2622.396479,0,0,1
RSU1,0.049783037,8.322284764,1019.079964,3.15E-185,3.43E-184,1
NKIRAS2,0.044324722,8.18789823,869.5677397,1.99E-115,1.33E-114,1
APH1A,0.064924105,8.635515998,2078.415161,0,0,1
RCN2,0.056216313,8.55456575,1367.363354,8.07E-289,1.80E-287,1
CALR,0.072529665,9.456237229,3158.450301,0,0,1
BANF1,0.048651384,9.018934143,1253.762274,9.08E-266,1.72E-264,1
ATP6AP1,0.065202067,8.457840933,1789.830183,0,0,1
ACSL5,0.077347026,8.649292587,2481.800285,0,0,1
TJP1,0.061051368,8.351829627,1448.046076,1.31E-282,2.78E-281,1
