Table of FindAllMarkers Function Output: Gene Expression Differential Analysis Results,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SHROOM1,0,1.085551222,0.395,0.195,0,Enterocytes,SHROOM1
LYPD81,0,1.075098352,0.275,0.088,0,Enterocytes,LYPD8
PARM12,0,1.06206895,0.443,0.239,0,Enterocytes,PARM1
C1orf115,0,1.059226328,0.298,0.069,0,Enterocytes,C1orf115
DDX60,0,1.049857233,0.295,0.104,0,Enterocytes,DDX60
CIB11,0,1.048611768,0.753,0.715,0,Enterocytes,CIB1
ATP5ME3,0,1.04466855,0.696,0.387,0,Enterocytes,ATP5ME
APOBR2,0,1.041460066,0.404,0.15,0,Enterocytes,APOBR
TMCC3,0,1.03715621,0.312,0.126,0,Enterocytes,TMCC3
TMEM592,0,1.034098164,0.759,0.715,0,Enterocytes,TMEM59
TMEM2361,0,1.030991838,0.318,0.074,0,Enterocytes,TMEM236
CDH172,0,1.029995344,0.683,0.576,0,Enterocytes,CDH17
LGALS3BP1,0,1.029147436,0.753,0.698,0,Enterocytes,LGALS3BP
KRT82,0,1.02486939,0.98,0.946,0,Enterocytes,KRT8
BTNL31,0,1.020436532,0.329,0.085,0,Enterocytes,BTNL3
RETREG1,0,1.017541517,0.348,0.125,0,Enterocytes,RETREG1
MYL62,0,1.014489654,0.93,0.897,0,Enterocytes,MYL6
ZZEF11,0,1.013227794,0.369,0.161,0,Enterocytes,ZZEF1
SEMA3B,0,1.012758504,0.41,0.234,0,Enterocytes,SEMA3B
EZR1,0,1.012237769,0.765,0.711,0,Enterocytes,EZR
TSPAN81,0,1.003396949,0.894,0.76,0,Enterocytes,TSPAN8
EDN31,0,1.003272585,0.302,0.069,0,Enterocytes,EDN3
SH3BGRL31,0,1.000037278,0.883,0.831,0,Enterocytes,SH3BGRL3
GRN3,0,0.999826434,0.696,0.646,0,Enterocytes,GRN
VSIG22,0,0.998981571,0.502,0.262,0,Enterocytes,VSIG2
TMEM2382,0,0.998789434,0.479,0.259,0,Enterocytes,TMEM238
TLCD21,0,0.995832748,0.393,0.189,0,Enterocytes,TLCD2
PDZD31,0,0.993591187,0.291,0.073,0,Enterocytes,PDZD3
TP53INP21,0,0.991987308,0.321,0.139,0,Enterocytes,TP53INP2
ATP1B11,0,0.987303699,0.795,0.699,0,Enterocytes,ATP1B1
KIF13B2,0,0.980729495,0.405,0.217,0,Enterocytes,KIF13B
MIR22HG1,0,0.980069741,0.36,0.168,0,Enterocytes,MIR22HG
SGK2,0,0.972549221,0.291,0.098,0,Enterocytes,SGK2
PTPRH,0,0.968697348,0.315,0.106,0,Enterocytes,PTPRH
AC254629.11,0,0.963322421,0.332,0.107,0,Enterocytes,AC254629.1
INAVA1,0,0.96314651,0.361,0.131,0,Enterocytes,INAVA
IGSF9,0,0.954696765,0.258,0.072,0,Enterocytes,IGSF9
HRCT11,0,0.95428231,0.321,0.141,0,Enterocytes,HRCT1
ATP5MD1,0,0.951622617,0.649,0.366,0,Enterocytes,ATP5MD
MYLK,0,0.947224352,0.267,0.04,0,Enterocytes,MYLK
MYO7B3,0,0.939692451,0.414,0.227,0,Enterocytes,MYO7B
SMIM311,0,0.938028697,0.345,0.124,0,Enterocytes,SMIM31
CCL281,0,0.935767479,0.357,0.162,0,Enterocytes,CCL28
PLCE11,0,0.93298413,0.34,0.158,0,Enterocytes,PLCE1
RHOU,0,0.932674292,0.285,0.126,0,Enterocytes,RHOU
FABP22,0,0.927236783,0.385,0.171,0,Enterocytes,FABP2
CLDN31,0,0.921594114,0.926,0.873,0,Enterocytes,CLDN3
SEPHS21,0,0.920608441,0.436,0.23,0,Enterocytes,SEPHS2
MAST21,0,0.919208298,0.332,0.161,0,Enterocytes,MAST2
S100A101,0,0.91235636,0.969,0.925,0,Enterocytes,S100A10
GPT,0,0.906673987,0.29,0.096,0,Enterocytes,GPT
PADI22,0,0.904487802,0.364,0.163,0,Enterocytes,PADI2
S100A61,0,0.894436842,0.994,0.984,0,Enterocytes,S100A6
PLPP11,0,0.894421271,0.306,0.14,0,Enterocytes,PLPP1
RRBP12,0,0.890607481,0.754,0.727,0,Enterocytes,RRBP1
SELENOS2,0,0.885877509,0.443,0.244,0,Enterocytes,SELENOS
PRR131,0,0.883448888,0.704,0.697,0,Enterocytes,PRR13
TMBIM61,0,0.880914969,0.812,0.798,0,Enterocytes,TMBIM6
FAM3D1,0,0.839994251,0.774,0.602,0,Enterocytes,FAM3D
NR3C2,0,0.837036241,0.292,0.103,0,Enterocytes,NR3C2
ATP5F1B,0,0.831554953,0.604,0.347,0,Enterocytes,ATP5F1B
LINC004831,0,0.823690137,0.282,0.077,0,Enterocytes,LINC00483
UBB2,0,0.810404862,0.897,0.885,0,Enterocytes,UBB
BHLHE41,0,0.792305678,0.251,0.099,0,Enterocytes,BHLHE41
2-Jun,0,0.772112164,0.897,0.88,0,Enterocytes,JUN
SCIN1,0,0.771168753,0.305,0.118,0,Enterocytes,SCIN
CD632,0,0.730615455,0.851,0.837,0,Enterocytes,CD63
PPDPF2,0,0.719653429,0.947,0.932,0,Enterocytes,PPDPF
UBC,0,0.703733518,0.934,0.912,0,Enterocytes,UBC
COX5B1,0,0.691851035,0.885,0.889,0,Enterocytes,COX5B
EDF11,0,0.613145624,0.84,0.858,0,Enterocytes,EDF1
ATP5F1E2,0,0.611170921,0.762,0.44,0,Enterocytes,ATP5F1E
MXD12,6.27E-308,1.11434977,0.491,0.341,1.97E-303,Enterocytes,MXD1
PBLD,1.34E-307,0.773507226,0.275,0.119,4.20E-303,Enterocytes,PBLD
ATP5MC31,2.65E-305,0.7005901,0.611,0.369,8.32E-301,Enterocytes,ATP5MC3
ATP8A1,1.82E-301,0.873883114,0.3,0.139,5.70E-297,Enterocytes,ATP8A1
SEMA6A1,5.09E-301,0.774955885,0.293,0.13,1.60E-296,Enterocytes,SEMA6A
STX19,6.47E-299,0.804407137,0.286,0.128,2.03E-294,Enterocytes,STX19
EPCAM1,1.01E-298,0.722779822,0.899,0.855,3.18E-294,Enterocytes,EPCAM
PAG11,1.22E-294,0.830873592,0.282,0.128,3.82E-290,Enterocytes,PAG1
HSD11B22,3.13E-294,1.102363807,0.501,0.351,9.82E-290,Enterocytes,HSD11B2
SLC9A3R11,3.84E-294,1.182485112,0.505,0.395,1.20E-289,Enterocytes,SLC9A3R1
PLCD31,1.06E-292,1.023666664,0.392,0.238,3.32E-288,Enterocytes,PLCD3
ISG151,2.07E-292,1.760780378,0.598,0.493,6.50E-288,Enterocytes,ISG15
CFDP12,4.82E-291,1.233742722,0.605,0.551,1.51E-286,Enterocytes,CFDP1
HEXIM12,6.43E-290,0.966576371,0.559,0.421,2.01E-285,Enterocytes,HEXIM1
CLDN4,7.81E-289,0.604926197,0.933,0.889,2.45E-284,Enterocytes,CLDN4
SQOR1,2.77E-287,0.826065193,0.379,0.204,8.69E-283,Enterocytes,SQOR
TMEM171,1.00E-286,0.864321288,0.296,0.144,3.14E-282,Enterocytes,TMEM171
GNG121,1.18E-281,1.08755621,0.469,0.342,3.70E-277,Enterocytes,GNG12
NDUFA11,1.52E-279,0.748724575,0.763,0.797,4.75E-275,Enterocytes,NDUFA1
CD2AP2,1.17E-278,1.041197154,0.557,0.463,3.66E-274,Enterocytes,CD2AP
FUCA11,3.43E-276,1.010373565,0.447,0.308,1.07E-271,Enterocytes,FUCA1
MAOA,4.75E-276,0.985877604,0.416,0.26,1.49E-271,Enterocytes,MAOA
ATP5MPL1,5.69E-275,0.664760731,0.574,0.346,1.78E-270,Enterocytes,ATP5MPL
PDCD6IP1,8.30E-275,1.113816992,0.545,0.456,2.60E-270,Enterocytes,PDCD6IP
UPP11,7.45E-270,1.211889485,0.387,0.242,2.33E-265,Enterocytes,UPP1
PDLIM11,4.01E-269,0.813821086,0.683,0.664,1.26E-264,Enterocytes,PDLIM1
CLSTN12,1.14E-267,1.000738037,0.503,0.383,3.58E-263,Enterocytes,CLSTN1
TFCP2L11,3.99E-265,0.945495318,0.383,0.222,1.25E-260,Enterocytes,TFCP2L1
SIRT61,2.31E-263,1.044552995,0.376,0.233,7.24E-259,Enterocytes,SIRT6
MT1E1,3.75E-261,1.218649859,0.554,0.397,1.17E-256,Enterocytes,MT1E
THBS1,1.28E-259,0.931694541,0.321,0.168,4.02E-255,Enterocytes,THBS1
RIOK31,2.18E-257,1.014320052,0.468,0.34,6.83E-253,Enterocytes,RIOK3
LMO71,2.81E-257,1.079348604,0.59,0.514,8.81E-253,Enterocytes,LMO7
HNF4A1,5.52E-257,0.991075856,0.521,0.407,1.73E-252,Enterocytes,HNF4A
KLF43,9.14E-257,0.669594343,0.717,0.652,2.86E-252,Enterocytes,KLF4
NBL11,7.91E-254,0.956437698,0.603,0.55,2.48E-249,Enterocytes,NBL1
RFK,2.27E-253,1.273312412,0.449,0.336,7.10E-249,Enterocytes,RFK
GBP31,7.42E-251,0.878983353,0.331,0.183,2.33E-246,Enterocytes,GBP3
IGKC1,1.50E-249,0.829853332,0.758,0.686,4.70E-245,Enterocytes,IGKC
GSN3,2.64E-249,0.441757142,0.611,0.508,8.29E-245,Enterocytes,GSN
EPS8L32,1.26E-246,0.93540828,0.526,0.42,3.94E-242,Enterocytes,EPS8L3
PLOD2,1.82E-246,0.963289599,0.312,0.168,5.72E-242,Enterocytes,PLOD2
ARL142,1.03E-244,1.245201937,0.459,0.322,3.23E-240,Enterocytes,ARL14
EPS8L21,3.62E-239,0.978613983,0.535,0.438,1.13E-234,Enterocytes,EPS8L2
RILP1,4.56E-238,0.772303993,0.295,0.155,1.43E-233,Enterocytes,RILP
PRR15,8.39E-238,1.015999555,0.457,0.346,2.63E-233,Enterocytes,PRR15
VAPA1,6.78E-237,0.9472493,0.591,0.575,2.12E-232,Enterocytes,VAPA
PINK11,2.17E-236,0.918362735,0.363,0.226,6.81E-232,Enterocytes,PINK1
CTNND13,3.18E-236,0.952479302,0.585,0.538,9.95E-232,Enterocytes,CTNND1
LSR1,6.05E-236,0.86804517,0.65,0.649,1.90E-231,Enterocytes,LSR
HLA-E1,1.01E-235,0.727928365,0.757,0.761,3.17E-231,Enterocytes,HLA-E
TUBB4B,1.24E-234,0.645075452,0.751,0.747,3.88E-230,Enterocytes,TUBB4B
SSFA2,4.20E-234,1.069120013,0.526,0.441,1.32E-229,Enterocytes,SSFA2
SYTL21,1.24E-232,0.66789043,0.445,0.289,3.89E-228,Enterocytes,SYTL2
AKAP93,5.94E-232,0.677472223,0.687,0.639,1.86E-227,Enterocytes,AKAP9
FUT31,5.18E-231,0.962089134,0.461,0.337,1.62E-226,Enterocytes,FUT3
NR2F61,2.33E-230,1.013888507,0.486,0.389,7.29E-226,Enterocytes,NR2F6
CAPN52,5.41E-227,0.828877692,0.4,0.26,1.70E-222,Enterocytes,CAPN5
RHOF,5.41E-226,1.093396125,0.355,0.223,1.69E-221,Enterocytes,RHOF
ANKRD9,9.05E-226,0.913032376,0.392,0.259,2.83E-221,Enterocytes,ANKRD9
LIPH2,9.46E-224,0.951401488,0.504,0.398,2.96E-219,Enterocytes,LIPH
CDH13,1.54E-223,0.930279461,0.607,0.582,4.81E-219,Enterocytes,CDH1
EPS81,3.35E-223,0.974167894,0.546,0.481,1.05E-218,Enterocytes,EPS8
CES31,1.50E-221,0.699408928,0.279,0.139,4.69E-217,Enterocytes,CES3
CENPX2,2.12E-219,0.661111134,0.433,0.267,6.64E-215,Enterocytes,CENPX
P2RX42,1.44E-218,0.83633141,0.335,0.198,4.52E-214,Enterocytes,P2RX4
CDA1,4.94E-216,1.127457346,0.379,0.242,1.55E-211,Enterocytes,CDA
CAPN21,6.53E-216,0.936957796,0.541,0.482,2.05E-211,Enterocytes,CAPN2
ATP8B11,3.27E-215,0.889425904,0.497,0.383,1.03E-210,Enterocytes,ATP8B1
SIPA1L31,7.02E-215,0.77182537,0.316,0.179,2.20E-210,Enterocytes,SIPA1L3
SPTBN11,2.63E-214,0.826300917,0.638,0.609,8.23E-210,Enterocytes,SPTBN1
TMBIM11,7.11E-214,1.004102466,0.514,0.44,2.23E-209,Enterocytes,TMBIM1
IVNS1ABP1,1.74E-209,1.048351307,0.499,0.404,5.46E-205,Enterocytes,IVNS1ABP
MAP2K21,2.41E-209,0.956720441,0.547,0.496,7.54E-205,Enterocytes,MAP2K2
SPPL2A2,7.67E-209,0.907878264,0.444,0.329,2.40E-204,Enterocytes,SPPL2A
METRNL1,2.15E-208,0.894101761,0.348,0.219,6.74E-204,Enterocytes,METRNL
GNG5,2.64E-208,0.722492135,0.696,0.728,8.28E-204,Enterocytes,GNG5
SCP22,7.92E-208,0.823084159,0.613,0.605,2.48E-203,Enterocytes,SCP2
PTTG1IP1,9.41E-208,0.977894827,0.571,0.53,2.95E-203,Enterocytes,PTTG1IP
KIAA0232,2.87E-204,0.945334431,0.35,0.217,9.00E-200,Enterocytes,KIAA0232
SLC22A181,5.35E-204,0.965012757,0.5,0.421,1.68E-199,Enterocytes,SLC22A18
VDR,5.77E-204,0.855649848,0.345,0.218,1.81E-199,Enterocytes,VDR
XRN11,1.86E-200,0.879907628,0.327,0.196,5.83E-196,Enterocytes,XRN1
C4orf482,4.36E-199,0.829787529,0.655,0.66,1.37E-194,Enterocytes,C4orf48
TMEM8A2,3.70E-198,0.8919996,0.374,0.251,1.16E-193,Enterocytes,TMEM8A
TNFRSF1A1,7.68E-197,0.985198511,0.461,0.37,2.41E-192,Enterocytes,TNFRSF1A
HDHD31,2.07E-196,0.931575966,0.494,0.419,6.49E-192,Enterocytes,HDHD3
AAK1,2.36E-196,0.855210433,0.312,0.186,7.40E-192,Enterocytes,AAK1
SLC40A1,2.71E-195,1.078870368,0.41,0.293,8.48E-191,Enterocytes,SLC40A1
MOGAT3,6.27E-194,0.78593776,0.282,0.155,1.97E-189,Enterocytes,MOGAT3
PDK4,1.11E-193,0.887106938,0.275,0.147,3.47E-189,Enterocytes,PDK4
INF21,1.12E-193,0.916931819,0.488,0.397,3.50E-189,Enterocytes,INF2
GOLM11,1.53E-192,0.875638884,0.558,0.495,4.78E-188,Enterocytes,GOLM1
GSDMD2,1.79E-190,0.917435672,0.527,0.466,5.60E-186,Enterocytes,GSDMD
B2M1,2.44E-189,0.322833349,0.658,0.809,7.65E-185,Enterocytes,B2M
PLEKHG61,1.25E-185,0.818492146,0.334,0.213,3.92E-181,Enterocytes,PLEKHG6
KTN1,3.57E-184,0.848921956,0.627,0.644,1.12E-179,Enterocytes,KTN1
MPST1,7.41E-184,0.711464697,0.66,0.679,2.32E-179,Enterocytes,MPST
RETREG2,9.99E-183,0.60276061,0.259,0.135,3.13E-178,Enterocytes,RETREG2
VIPR12,3.05E-182,0.592846227,0.288,0.158,9.56E-178,Enterocytes,VIPR1
PNPLA22,1.70E-181,0.932555346,0.484,0.4,5.32E-177,Enterocytes,PNPLA2
ELF33,1.45E-180,0.320565682,0.915,0.904,4.53E-176,Enterocytes,ELF3
MT2A1,2.45E-179,1.339794505,0.592,0.534,7.67E-175,Enterocytes,MT2A
NDUFB71,8.80E-176,0.652722949,0.746,0.797,2.76E-171,Enterocytes,NDUFB7
VMP11,5.94E-175,0.715811839,0.709,0.72,1.86E-170,Enterocytes,VMP1
CEACAM61,2.40E-174,0.911262209,0.603,0.494,7.52E-170,Enterocytes,CEACAM6
PKN23,5.09E-173,0.859854376,0.498,0.413,1.59E-168,Enterocytes,PKN2
CAP1,7.47E-171,0.829965885,0.575,0.57,2.34E-166,Enterocytes,CAP1
CNST,1.11E-170,0.700450356,0.256,0.14,3.49E-166,Enterocytes,CNST
MYH92,1.82E-170,0.780159096,0.616,0.616,5.70E-166,Enterocytes,MYH9
DSG21,7.34E-170,0.862617309,0.593,0.581,2.30E-165,Enterocytes,DSG2
ECE11,1.07E-169,0.808239337,0.312,0.198,3.36E-165,Enterocytes,ECE1
PDGFA2,5.48E-169,0.809473556,0.356,0.237,1.72E-164,Enterocytes,PDGFA
B4GALNT31,8.15E-169,0.736549719,0.293,0.175,2.55E-164,Enterocytes,B4GALNT3
METTL7A,2.26E-168,0.756875061,0.267,0.151,7.09E-164,Enterocytes,METTL7A
MGAT4B1,6.82E-168,0.898852844,0.516,0.469,2.14E-163,Enterocytes,MGAT4B
CEMIP21,7.47E-168,0.623868632,0.324,0.191,2.34E-163,Enterocytes,CEMIP2
GOLGB11,1.24E-166,0.666159946,0.598,0.525,3.89E-162,Enterocytes,GOLGB1
APLP21,2.14E-165,0.783464985,0.612,0.623,6.71E-161,Enterocytes,APLP2
PTK2B1,2.76E-165,0.675686462,0.252,0.137,8.65E-161,Enterocytes,PTK2B
RPL36AL1,1.32E-164,0.453482873,0.786,0.832,4.14E-160,Enterocytes,RPL36AL
UBL51,2.04E-164,0.539984457,0.759,0.807,6.39E-160,Enterocytes,UBL5
GSDMB,2.05E-164,0.678984699,0.275,0.158,6.41E-160,Enterocytes,GSDMB
EHBP1L11,2.54E-164,0.772722069,0.302,0.184,7.95E-160,Enterocytes,EHBP1L1
WASL2,7.05E-164,0.890799737,0.467,0.398,2.21E-159,Enterocytes,WASL
BCL101,2.90E-163,0.907249876,0.428,0.343,9.07E-159,Enterocytes,BCL10
RASSF63,6.57E-163,0.605170563,0.357,0.235,2.06E-158,Enterocytes,RASSF6
FRYL1,2.83E-162,0.616426488,0.52,0.416,8.88E-158,Enterocytes,FRYL
TRIR3,1.65E-161,0.490189612,0.482,0.327,5.17E-157,Enterocytes,TRIR
ETNK11,2.09E-160,1.507828791,0.45,0.389,6.54E-156,Enterocytes,ETNK1
CORO1B2,2.82E-160,0.852870491,0.555,0.543,8.82E-156,Enterocytes,CORO1B
SLC25A25-AS1,2.61E-158,0.657634367,0.294,0.175,8.19E-154,Enterocytes,SLC25A25-AS1
ACADVL3,4.20E-158,0.682280329,0.604,0.589,1.32E-153,Enterocytes,ACADVL
SCNN1A2,7.96E-158,0.76623118,0.432,0.327,2.49E-153,Enterocytes,SCNN1A
HIST1H2AC1,6.22E-157,0.807792873,0.431,0.327,1.95E-152,Enterocytes,HIST1H2AC
PPP1R102,7.76E-157,0.773596152,0.493,0.4,2.43E-152,Enterocytes,PPP1R10
HSD17B111,2.13E-156,0.879689798,0.542,0.518,6.67E-152,Enterocytes,HSD17B11
OPTN3,3.08E-156,0.894874736,0.46,0.385,9.66E-152,Enterocytes,OPTN
IER22,4.63E-156,0.443129045,0.804,0.822,1.45E-151,Enterocytes,IER2
CAST2,2.03E-154,0.67404988,0.644,0.673,6.38E-150,Enterocytes,CAST
LRRC11,2.22E-154,0.877724748,0.331,0.229,6.96E-150,Enterocytes,LRRC1
CNNM4,2.38E-152,0.70199742,0.282,0.172,7.46E-148,Enterocytes,CNNM4
ANXA111,4.74E-152,0.663819072,0.653,0.687,1.49E-147,Enterocytes,ANXA11
ABHD32,5.25E-152,0.861095991,0.353,0.251,1.64E-147,Enterocytes,ABHD3
ATP5IF12,2.62E-148,0.495564646,0.489,0.333,8.20E-144,Enterocytes,ATP5IF1
VPS13A2,1.44E-147,0.836094755,0.383,0.28,4.50E-143,Enterocytes,VPS13A
DYRK22,1.18E-146,0.875260622,0.403,0.316,3.70E-142,Enterocytes,DYRK2
AFDN2,1.31E-146,0.555694549,0.377,0.246,4.11E-142,Enterocytes,AFDN
SUSD6,5.68E-146,0.687333531,0.251,0.145,1.78E-141,Enterocytes,SUSD6
GCC22,1.54E-143,0.638658461,0.584,0.543,4.83E-139,Enterocytes,GCC2
ACTB,3.48E-143,0.282420499,0.971,0.955,1.09E-138,Enterocytes,ACTB
FBXO323,1.20E-142,0.869404857,0.353,0.25,3.75E-138,Enterocytes,FBXO32
C5orf30,1.44E-142,0.778360957,0.263,0.163,4.50E-138,Enterocytes,C5orf30
PYGB,1.70E-142,0.791227593,0.469,0.398,5.31E-138,Enterocytes,PYGB
MOB3B,5.90E-142,0.654787777,0.257,0.153,1.85E-137,Enterocytes,MOB3B
VPS281,1.36E-140,0.708708973,0.632,0.669,4.26E-136,Enterocytes,VPS28
EPAS11,1.48E-140,0.677317046,0.299,0.196,4.63E-136,Enterocytes,EPAS1
SELENOK2,1.77E-140,0.533376932,0.388,0.259,5.55E-136,Enterocytes,SELENOK
JCHAIN2,7.58E-138,0.709774723,0.389,0.275,2.37E-133,Enterocytes,JCHAIN
TMC42,1.12E-137,0.776865222,0.438,0.363,3.50E-133,Enterocytes,TMC4
HEPH3,6.77E-136,0.791384663,0.429,0.351,2.12E-131,Enterocytes,HEPH
LAMB31,5.26E-135,0.864749019,0.509,0.461,1.65E-130,Enterocytes,LAMB3
TMC51,6.71E-135,0.853406825,0.551,0.522,2.10E-130,Enterocytes,TMC5
PARP12,2.12E-134,0.700912566,0.257,0.157,6.63E-130,Enterocytes,PARP12
PLXNB21,5.15E-134,0.77026521,0.458,0.388,1.61E-129,Enterocytes,PLXNB2
COMTD1,2.24E-131,0.817203617,0.528,0.503,7.01E-127,Enterocytes,COMTD1
TMPRSS4,2.72E-131,0.778246483,0.49,0.442,8.54E-127,Enterocytes,TMPRSS4
TMEM127,5.69E-131,0.763716874,0.286,0.188,1.78E-126,Enterocytes,TMEM127
PLEC2,8.77E-131,0.817054451,0.534,0.503,2.75E-126,Enterocytes,PLEC
IMPA11,1.15E-130,0.719014353,0.277,0.178,3.61E-126,Enterocytes,IMPA1
LPIN21,2.59E-130,0.868282638,0.302,0.203,8.12E-126,Enterocytes,LPIN2
PTPRF3,2.70E-130,0.772963078,0.523,0.489,8.45E-126,Enterocytes,PTPRF
CAB39,6.80E-130,0.886085229,0.377,0.298,2.13E-125,Enterocytes,CAB39
UQCRQ,1.64E-129,0.511416183,0.782,0.82,5.15E-125,Enterocytes,UQCRQ
NET1,7.85E-129,0.84604952,0.548,0.548,2.46E-124,Enterocytes,NET1
CLRN31,1.18E-128,0.802269132,0.373,0.289,3.69E-124,Enterocytes,CLRN3
ATP6V0D12,4.68E-128,0.852888043,0.456,0.413,1.47E-123,Enterocytes,ATP6V0D1
KIAA15221,6.44E-128,0.775403867,0.386,0.306,2.02E-123,Enterocytes,KIAA1522
CHCHD10,1.99E-126,0.699080628,0.697,0.755,6.24E-122,Enterocytes,CHCHD10
RAB11FIP12,1.83E-125,0.633038982,0.651,0.649,5.74E-121,Enterocytes,RAB11FIP1
ARL4A,2.66E-124,0.83050186,0.548,0.534,8.34E-120,Enterocytes,ARL4A
GPRC5A,3.07E-124,0.719131955,0.64,0.617,9.63E-120,Enterocytes,GPRC5A
AURKAIP1,1.56E-123,0.581624868,0.682,0.735,4.88E-119,Enterocytes,AURKAIP1
ISG202,5.83E-123,0.969157707,0.371,0.282,1.83E-118,Enterocytes,ISG20
DOK41,1.29E-122,0.752649736,0.329,0.242,4.04E-118,Enterocytes,DOK4
COX7A2,1.73E-122,0.397865987,0.821,0.844,5.43E-118,Enterocytes,COX7A2
ATP5MG2,5.57E-122,0.389326135,0.511,0.342,1.74E-117,Enterocytes,ATP5MG
AKAP133,6.70E-121,0.797222348,0.498,0.456,2.10E-116,Enterocytes,AKAP13
UQCRC1,2.49E-120,0.7052296,0.614,0.661,7.81E-116,Enterocytes,UQCRC1
NHSL11,6.18E-119,0.674341686,0.293,0.199,1.94E-114,Enterocytes,NHSL1
BTG1,1.43E-118,0.407353727,0.746,0.762,4.49E-114,Enterocytes,BTG1
RPS6KA5,5.44E-118,0.715821978,0.253,0.158,1.70E-113,Enterocytes,RPS6KA5
SLC20A11,5.73E-118,1.068052417,0.458,0.411,1.79E-113,Enterocytes,SLC20A1
IQGAP22,8.85E-118,0.656660582,0.304,0.206,2.77E-113,Enterocytes,IQGAP2
NXPE41,1.02E-116,0.4475151,0.262,0.152,3.18E-112,Enterocytes,NXPE4
MYO1D2,1.03E-116,0.762718815,0.437,0.379,3.23E-112,Enterocytes,MYO1D
C1orf210,3.31E-115,0.652023919,0.262,0.172,1.04E-110,Enterocytes,C1orf210
SMIM142,1.42E-114,0.584748435,0.468,0.4,4.46E-110,Enterocytes,SMIM14
ATP5MF1,1.57E-112,0.392049549,0.469,0.324,4.91E-108,Enterocytes,ATP5MF
IL181,2.49E-112,0.850336736,0.392,0.327,7.82E-108,Enterocytes,IL18
NT5C3,5.32E-112,0.742937344,0.551,0.567,1.67E-107,Enterocytes,NT5C
ZFAND2B1,1.16E-111,0.813977818,0.379,0.313,3.64E-107,Enterocytes,ZFAND2B
ACTN41,2.51E-111,0.5389469,0.663,0.712,7.85E-107,Enterocytes,ACTN4
LGR41,5.39E-111,0.691148074,0.32,0.231,1.69E-106,Enterocytes,LGR4
RARRES3,1.91E-109,1.087856915,0.344,0.254,6.00E-105,Enterocytes,RARRES3
CYSTM11,3.60E-109,0.302419373,0.293,0.554,1.13E-104,Enterocytes,CYSTM1
PLA2G2A,1.19E-106,1.032041345,0.371,0.273,3.72E-102,Enterocytes,PLA2G2A
MAGI31,2.82E-106,0.647711982,0.274,0.184,8.85E-102,Enterocytes,MAGI3
GUK1,3.46E-106,0.438269148,0.742,0.776,1.08E-101,Enterocytes,GUK1
MT1G1,2.49E-105,1.202927767,0.44,0.359,7.79E-101,Enterocytes,MT1G
GALNT71,6.78E-104,0.656479287,0.395,0.32,2.12E-99,Enterocytes,GALNT7
ZBTB7A2,9.17E-104,0.726051258,0.524,0.513,2.87E-99,Enterocytes,ZBTB7A
PPARA,1.33E-103,0.684694344,0.3,0.214,4.18E-99,Enterocytes,PPARA
LLGL22,2.31E-103,0.689962294,0.551,0.559,7.23E-99,Enterocytes,LLGL2
MYO15B1,9.81E-103,0.67992118,0.255,0.167,3.07E-98,Enterocytes,MYO15B
MAML2,4.18E-102,0.619021481,0.276,0.185,1.31E-97,Enterocytes,MAML2
HLA-F2,6.80E-102,0.728096982,0.434,0.379,2.13E-97,Enterocytes,HLA-F
C1orf211,1.11E-100,0.776965976,0.407,0.347,3.47E-96,Enterocytes,C1orf21
COX7B,1.26E-100,0.432189127,0.77,0.822,3.94E-96,Enterocytes,COX7B
SELENOW3,3.62E-100,0.405362188,0.434,0.314,1.14E-95,Enterocytes,SELENOW
ITM2B1,2.91E-99,0.602449825,0.653,0.701,9.11E-95,Enterocytes,ITM2B
PDE8A,1.55E-98,0.613717975,0.254,0.17,4.86E-94,Enterocytes,PDE8A
APOL61,3.42E-98,0.732265325,0.343,0.266,1.07E-93,Enterocytes,APOL6
RAPGEFL1,6.31E-98,0.653157522,0.288,0.204,1.98E-93,Enterocytes,RAPGEFL1
FZD5,6.51E-98,0.696982903,0.36,0.287,2.04E-93,Enterocytes,FZD5
ATP5PD1,8.36E-98,0.456713787,0.421,0.306,2.62E-93,Enterocytes,ATP5PD
CHMP4B1,3.21E-97,0.573634243,0.636,0.674,1.01E-92,Enterocytes,CHMP4B
S100A141,5.56E-97,0.55907793,0.638,0.641,1.74E-92,Enterocytes,S100A14
HLA-B2,9.07E-97,0.428476714,0.542,0.738,2.84E-92,Enterocytes,HLA-B
PFKL,2.38E-96,0.693074097,0.516,0.51,7.45E-92,Enterocytes,PFKL
STAP21,2.45E-96,0.759190883,0.471,0.457,7.68E-92,Enterocytes,STAP2
RNPEPL12,3.12E-96,0.770282618,0.398,0.341,9.77E-92,Enterocytes,RNPEPL1
CTNNA11,1.16E-95,0.745253038,0.533,0.555,3.65E-91,Enterocytes,CTNNA1
SH3KBP11,1.22E-95,0.742111184,0.441,0.406,3.83E-91,Enterocytes,SH3KBP1
LPP2,1.20E-94,0.737009454,0.485,0.458,3.75E-90,Enterocytes,LPP
HIST1H2BG,3.95E-92,0.645198051,0.316,0.228,1.24E-87,Enterocytes,HIST1H2BG
KLF32,2.51E-91,0.721053184,0.534,0.547,7.86E-87,Enterocytes,KLF3
SHROOM32,1.05E-90,0.714949215,0.398,0.341,3.30E-86,Enterocytes,SHROOM3
